日期,最高气温,最低气温,天气
2022-01-01,17,7,多云
2022-01-02,21,11,晴
2022-01-03,24,12,晴
2022-01-04,24,14,晴
2022-01-05,3,-7,晴
2022-01-06,20,4,多云
2022-01-07,18,12,晴
2022-01-08,21,12,晴
2022-01-09,17,11,多云
2022-01-10,13,10,多云
2022-01-11,15,8,晴
2022-01-12,15,6,多云
2022-01-13,17,10,多云
2022-01-14,13,12,多云
2022-01-15,18,13,多云
2022-01-16,22,11,多云
2022-01-17,14,11,阴
2022-01-18,16,11,晴
2022-01-19,18,11,晴
2022-01-20,19,11,多云
2022-01-21,24,14,阴
2022-01-22,19,14,阴到小雨
2022-01-23,21,16,小雨
2022-01-24,16,12,多云
2022-01-25,20,12,小雨到中雨
2022-01-26,20,14,阴
2022-01-27,24,14,多云
2022-01-28,23,15,多云
2022-01-29,14,7,小雨
2022-01-30,14,7,多云
2022-01-31,12,7,小雨
2022-02-01,10,8,小雨
2022-02-02,10,7,小雨
2022-02-03,11,7,多云
2022-02-04,13,6,多云
2022-02-05,12,9,晴
2022-02-06,16,12,多云
2022-02-07,13,7,大雨
2022-02-08,9,7,小雨
2022-02-09,11,6,阵雨
2022-02-10,13,8,阴
2022-02-11,15,12,小雨
2022-02-12,14,13,多云
2022-02-13,11,9,多云
2022-02-14,19,10,晴
2022-02-15,19,12,多云
2022-02-16,19,13,多云
2022-02-17,16,13,小雨
2022-02-18,13,7,小雨
2022-02-19,7,5,大雨
2022-02-20,6,5,小雨
2022-02-21,8,5,小雨
2022-02-22,9,6,小雨
2022-02-23,12,6,多云
2022-02-24,16,7,多云
2022-02-25,19,8,多云
2022-02-26,23,10,多云
2022-02-27,25,14,多云
2022-02-28,25,15,阴
2022-03-01,25,16,多云
2022-03-02,25,17,阴
2022-03-03,25,18,多云
2022-03-04,26,17,多云
2022-03-05,25,20,多云
2022-03-06,25,16,多云
2022-03-07,23,10,晴
2022-03-08,24,12,晴
2022-03-09,26,11,晴
2022-03-10,26,16,多云
2022-03-11,27,20,多云
2022-03-12,28,17,多云
2022-03-13,29,21,晴
2022-03-14,30,21,多云
2022-03-15,30,21,多云
2022-03-16,30,22,多云
2022-03-17,27,18,阴到小雨
2022-03-18,25,21,晴
2022-03-19,29,21,多云
2022-03-20,27,21,多云
2022-03-21,31,13,晴
2022-03-22,25,13,小雨
2022-03-23,15,10,小雨到中雨
2022-03-24,18,12,小雨到中雨
2022-03-25,22,16,多云
2022-03-26,24,16,多云
2022-03-27,21,14,多云
2022-03-28,20,13,晴
2022-03-29,21,15,多云
2022-03-30,24,17,阴
2022-03-31,27,14,多云
2022-04-01,19,13,小雨
2022-04-02,17,12,多云
2022-04-03,24,12,晴
2022-04-04,25,12,晴
2022-04-05,26,14,晴
2022-04-06,28,19,多云
2022-04-07,29,20,晴
2022-04-08,30,16,晴
2022-04-09,30,17,晴
2022-04-10,30,20,晴
2022-04-11,30,20,晴
2022-04-12,31,22,晴
2022-04-13,29,19,多云
2022-04-14,28,18,晴
2022-04-15,28,18,阴
2022-04-16,20,15,多云
2022-04-17,21,16,多云
2022-04-18,17,14,小雨
2022-04-19,17,16,小雨
2022-04-20,22,15,阴
2022-04-21,28,21,阴
2022-04-22,28,22,小雨到大雨
2022-04-23,28,20,中雨
2022-04-24,30,22,多云
2022-04-25,30,24,多云
2022-04-26,31,26,多云
2022-04-27,33,25,多云
2022-04-28,32,25,晴
2022-04-29,29,23,多云
2022-04-30,28,17,大雨
2022-05-01,18,14,小雨到中雨
2022-05-02,23,15,多云
2022-05-03,26,17,多云
2022-05-04,29,18,多云
2022-05-05,31,23,多云
2022-05-06,31,23,多云
2022-05-07,28,22,小雨到中雨
2022-05-08,26,22,小雨
2022-05-09,27,21,多云
2022-05-10,25,22,小雨到暴雨
2022-05-11,25,22,多云
2022-05-12,25,22,阴
2022-05-13,25,21,多云
2022-05-14,26,19,小雨
2022-05-15,22,15,小雨到大雨
2022-05-16,24,15,多云
2022-05-17,28,17,多云
2022-05-18,29,20,多云
2022-05-19,30,25,多云
2022-05-20,30,23,多云
2022-05-21,27,23,小雨
2022-05-22,25,20,多云
2022-05-23,26,21,多云
2022-05-24,28,23,阴
2022-05-25,28,24,多云
2022-05-26,30,25,小雨
2022-05-27,27,24,中雨到大雨
2022-05-28,32,25,多云
2022-05-29,33,26,多云
2022-05-30,32,25,多云
2022-05-31,34,26,多云
2022-06-01,32,26,小雨到中雨
2022-06-02,31,25,小雨到中雨
2022-06-03,32,25,多云
2022-06-04,32,25,多云
2022-06-05,31,25,小雨
2022-06-06,29,25,小雨到中雨
2022-06-07,29,23,中雨
2022-06-08,28,23,多云
2022-06-09,30,23,多云
2022-06-10,28,24,小雨到大雨
2022-06-11,30,25,多云
2022-06-12,31,24,多云
2022-06-13,28,22,小雨到中雨
2022-06-14,28,23,小雨到中雨
2022-06-15,28,22,小雨到大雨
2022-06-16,28,23,多云
2022-06-17,29,24,小雨
2022-06-18,30,26,小雨
2022-06-19,29,25,多云
2022-06-20,31,25,小雨到大雨
2022-06-21,30,25,多云
2022-06-22,33,21,多云
2022-06-23,35,26,多云
2022-06-24,35,29,多云
2022-06-25,34,26,多云
2022-06-26,26,20,多云
2022-06-27,35,27,多云
2022-06-28,35,27,多云
2022-06-29,36,27,多云
2022-06-30,35,26,小雨到中雨
2022-07-01,33,26,小雨
2022-07-02,29,24,小雨到中雨
2022-07-03,28,24,小雨到大雨
2022-07-04,28,25,多云
2022-07-05,29,25,小雨到暴雨
2022-07-06,29,23,阴
2022-07-07,29,24,小雨到中雨
2022-07-08,32,25,多云
2022-07-09,34,25,晴
2022-07-10,35,26,多云
2022-07-11,35,26,晴
2022-07-12,35,26,晴
2022-07-13,35,26,晴
2022-07-14,35,25,阴
2022-07-15,36,26,多云
2022-07-16,36,27,阴
2022-07-17,35,27,小雨到中雨
2022-07-18,34,27,阴
2022-07-19,35,27,阴到小雨
2022-07-20,35,27,多云
2022-07-21,34,25,多云
2022-07-22,36,28,晴
2022-07-23,37,27,晴
2022-07-24,38,27,晴
2022-07-25,38,27,晴
2022-07-26,38,26,晴
2022-07-27,37,29,多云
2022-07-28,37,28,多云
2022-07-29,37,27,多云
2022-07-30,38,24,多云
2022-07-31,37,27,晴
2022-08-01,36,27,多云
2022-08-02,37,26,多云
2022-08-03,32,25,中雨
2022-08-04,31,25,小雨
2022-08-05,31,25,阴
2022-08-06,33,25,多云
2022-08-07,35,25,多云
2022-08-08,34,25,中雨
2022-08-09,33,24,阴
2022-08-10,31,24,多云
2022-08-11,30,25,中雨
2022-08-12,30,25,中雨
2022-08-13,32,25,多云
2022-08-14,34,25,雾
2022-08-15,34,26,多云
2022-08-16,35,27,多云
2022-08-17,34,26,多云
2022-08-18,32,27,小雨
2022-08-19,34,26,小雨
2022-08-20,31,25,中雨
2022-08-21,31,25,中雨
2022-08-22,34,25,多云
2022-08-23,36,26,多云
2022-08-24,35,25,中雨
2022-08-25,31,25,大雨
2022-08-26,32,26,雷阵雨
2022-08-27,34,28,小雨
2022-08-28,36,26,多云
2022-08-29,33,26,多云
2022-08-30,34,25,大雨
2022-08-31,32,24,多云
2022-09-01,31,25,多云
2022-09-02,35,27,晴
2022-09-03,35,25,晴
2022-09-04,33,25,多云
2022-09-05,35,25,晴
2022-09-06,33,25,多云
2022-09-07,33,25,阴
2022-09-08,34,25,多云
2022-09-09,32,25,多云
2022-09-10,35,25,雷阵雨
2022-09-11,33,25,多云
2022-09-12,35,26,晴
2022-09-13,35,24,晴
2022-09-14,36,27,晴
2022-09-15,34,24,晴
2022-09-16,35,25,晴
2022-09-17,35,25,晴
2022-09-18,37,26,多云
2022-09-19,35,26,雾
2022-09-20,35,25,多云
2022-09-21,32,25,多云
2022-09-22,33,24,雾
2022-09-23,32,25,多云
2022-09-24,32,25,多云
2022-09-25,33,24,晴
2022-09-26,33,26,晴
2022-09-27,33,25,多云
2022-09-28,34,26,多云
2022-09-29,34,27,多云
2022-09-30,33,26,小雨
2022-10-01,32,25,小雨
2022-10-02,33,26,多云
2022-10-03,34,25,多云
2022-10-04,36,27,晴
2022-10-05,33,25,小雨
2022-10-06,32,23,多云
2022-10-07,27,20,多云
2022-10-08,27,22,多云
2022-10-09,27,18,多云
2022-10-10,26,17,晴
2022-10-11,25,16,晴
2022-10-12,27,21,晴
2022-10-13,29,20,晴
2022-10-14,29,21,多云
2022-10-15,29,21,多云
2022-10-16,31,23,多云
2022-10-17,30,20,多云
2022-10-18,26,18,多云
2022-10-19,24,20,多云
2022-10-20,30,19,多云
2022-10-21,32,24,晴
2022-10-22,33,21,晴
2022-10-23,32,23,晴
2022-10-24,31,21,晴
2022-10-25,30,20,晴
2022-10-26,29,20,晴
2022-10-27,32,19,晴
2022-10-28,29,20,多云
2022-10-29,26,20,晴
2022-10-30,27,20,多云
2022-10-31,27,20,多云
2022-11-01,26,19,多云
2022-11-02,22,19,小雨
2022-11-03,20,18,小雨
2022-11-04,20,17,小雨
2022-11-05,20,17,多云
2022-11-06,21,17,多云
2022-11-07,23,18,多云
2022-11-08,24,20,多云
2022-11-09,26,21,小雨
2022-11-10,29,21,多云
2022-11-11,29,20,多云
2022-11-12,28,20,多云
2022-11-13,31,19,多云
2022-11-14,26,20,多云
2022-11-15,25,20,多云
2022-11-16,24,20,多云
2022-11-17,26,22,多云
2022-11-18,29,20,晴
2022-11-19,28,19,多云
2022-11-20,27,21,晴
2022-11-21,29,21,多云
2022-11-22,23,19,中雨
2022-11-23,21,19,小雨
2022-11-24,21,17,大雨
2022-11-25,21,18,中雨
2022-11-26,23,19,中雨
2022-11-27,23,21,阴
2022-11-28,28,17,雾
2022-11-29,27,12,多云
2022-11-30,15,9,小雨
2022-12-01,11,8,多云
2022-12-02,13,10,多云
2022-12-03,17,12,多云
2022-12-04,16,11,多云
2022-12-05,13,8,多云
2022-12-06,13,9,多云
2022-12-07,18,11,多云
2022-12-08,20,11,多云
2022-12-09,20,12,多云
2022-12-10,19,11,晴
2022-12-11,16,10,多云
2022-12-12,16,9,多云
2022-12-13,14,10,晴
2022-12-14,15,10,多云
2022-12-15,15,12,多云
2022-12-16,15,8,小雨
2022-12-17,13,4,多云
2022-12-18,13,4,晴
2022-12-19,17,7,晴
2022-12-20,20,9,晴
2022-12-21,19,8,多云
2022-12-22,20,10,晴
2022-12-23,20,10,多云
2022-12-24,20,9,晴
2022-12-25,20,7,晴
2022-12-26,20,11,晴
2022-12-27,20,13,多云
2022-12-28,17,9,多云
2022-12-29,16,10,多云
2022-12-30,15,10,晴
2022-12-31,14,7,晴
